,v_a,eta,error
0,0.9635208412679303,0.0,0.0019169301472134097
1,0.9545201116442633,0.2631578947368421,0.0015623491736806432
2,0.8285446032240029,0.5263157894736842,0.003535504357852915
3,0.7184445984432338,0.7894736842105263,0.005743138039662437
4,0.5514939557066935,1.0526315789473684,0.006407852078859312
5,0.4375613698726456,1.3157894736842104,0.00798826316481621
6,0.3022783918232533,1.5789473684210527,0.008682488854339924
7,0.2952547210241228,1.8421052631578947,0.008730912966387177
8,0.22032697282283678,2.1052631578947367,0.007418973354091929
9,0.1669047610864448,2.3684210526315788,0.006445140169759072
10,0.1450840123542048,2.631578947368421,0.005708209662133084
11,0.10762741421464893,2.894736842105263,0.004386092628391968
12,0.08857076600665391,3.1578947368421053,0.0037761754899795835
13,0.07285339846121125,3.4210526315789473,0.0029169394662162196
14,0.06431725184272724,3.6842105263157894,0.0024335666028962822
15,0.05717017308930165,3.9473684210526314,0.0024781189875150837
16,0.052479944999195074,4.2105263157894735,0.0021622256136522395
17,0.04992251588706775,4.473684210526316,0.0024303315832238125
18,0.048358802992046694,4.7368421052631575,0.0020339636517387187
19,0.04699460086227289,5.0,0.001904432331278682
